Adgroup;MaxCPC;Clicks;Impressions;CTR;AvgCPC;Costo;AvgPosicion;Qscore;Ventas;Costconv;Convrate;Allconv
Rug English;0,02;0;6;0;0;0;1,8;6;0;0;0,00;0
Alpaca Generic English;0,14;0;45;0;0;0;5,2; --;0;0;0,00;0
Sweater English;0,15;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,04;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,9;3;30;0,1;0,3;0,91;1,1;7;0;0;0,00;0
Sweater Women English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,07;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,28;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,42;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,17;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,37;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,15;2;82;0,0244;0,06;0,11;2,2;6;0;0;0,00;0
Gloves English;0,19;10;170;0,0588;0,16;1,57;2,2;6;0;0;0,00;0
Sweater Men English;0,84;21;220;0,0955;0,43;9,13;1,4;8;0;0;0,00;0
Poncho English;1,2;14;398;0,0352;0,29;4,1;1,5;8;0;0;0,00;0
Poncho English;0,15;0;1;0;0;0;4; --;0;0;0,00;0
Poncho English;0,14;1;108;0,0093;0,14;0,14;1,2;9;0;0;0,00;0
Sweater English;0,28;2;18;0,1111;0,2;0,39;1,5;9;0;0;0,00;0
Scarf English;0,11;0;52;0;0;0;3,3;9;0;0;0,00;0
Poncho English;1,34;0;0;0;0;0;0; --;0;0;0,00;0
Cardigans English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Vest English;1,2;10;75;0,1333;0,21;2,14;2,2;7;1;2,14;1000,00;1
Poncho English;0,28;3;30;0,1;0,25;0,75;1;6;0;0;0,00;0
Alpaca Generic English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,98;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Gloves English;0,28;4;12;0,3333;0,26;1,04;1,8;7;0;0;0,00;0
Sweater English;0,67;14;76;0,1842;0,16;2,29;1,4;8;1;2,29;714,00;1
Sweater English;0,56;5;59;0,0847;0,31;1,54;2,4;9;0;0;0,00;0
Sweater English;0,56;1;33;0,0303;0,07;0,07;1,2; --;0;0;0,00;0
Poncho English;0,42;11;307;0,0358;0,21;2,32;1,5;4;0;0;0,00;0
Peruvian Alpaca Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,18;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,42;3;203;0,0148;0,15;0,44;1,9;4;0;0;0,00;0
Scarf English;0,28;0;44;0;0;0;1,3;7;0;0;0,00;0
Peruvian Alpaca Clothing English;0,36;11;366;0,0301;0,14;1,55;2;7;0;0;0,00;0
